tipo,archivo,ruta
tabla,01_resumen_base.csv,docs\tables\01_resumen_base.csv
tabla,02_tipos_datos.csv,docs\tables\02_tipos_datos.csv
tabla,03_auditoria_datos_faltantes.csv,docs\tables\03_auditoria_datos_faltantes.csv
tabla,04_segmentacion_variables.csv,docs\tables\04_segmentacion_variables.csv
tabla,05_estadistica_descriptiva_variables_clave.csv,docs\tables\05_estadistica_descriptiva_variables_clave.csv
tabla,06_frecuencia_winddir9am.csv,docs\tables\06_frecuencia_winddir9am.csv
tabla,07_frecuencia_rain_today.csv,docs\tables\07_frecuencia_rain_today.csv
tabla,08_frecuencia_rain_tomorrow.csv,docs\tables\08_frecuencia_rain_tomorrow.csv
tabla,09_ic_humidity3pm_95_99.csv,docs\tables\09_ic_humidity3pm_95_99.csv
tabla,10_ic_humidity3pm_por_grupo_95_99.csv,docs\tables\10_ic_humidity3pm_por_grupo_95_99.csv
tabla,11_prueba_t_welch_humidity3pm_unilateral.csv,docs\tables\11_prueba_t_welch_humidity3pm_unilateral.csv
tabla,12_tabla_contingencia_rain_today_rain_tomorrow.csv,docs\tables\12_tabla_contingencia_rain_today_rain_tomorrow.csv
tabla,13_prueba_chi2_rain_today_rain_tomorrow.csv,docs\tables\13_prueba_chi2_rain_today_rain_tomorrow.csv
tabla,14_probabilidades_condicionales_rain_today.csv,docs\tables\14_probabilidades_condicionales_rain_today.csv
figura,fig_01_datos_faltantes.png,docs\figures\fig_01_datos_faltantes.png
figura,fig_02_histogramas_kde_variables_clave.png,docs\figures\fig_02_histogramas_kde_variables_clave.png
figura,fig_03_boxplots_por_rain_tomorrow.png,docs\figures\fig_03_boxplots_por_rain_tomorrow.png
figura,fig_04_barras_winddir9am_raintoday.png,docs\figures\fig_04_barras_winddir9am_raintoday.png
figura,fig_05_distribucion_rain_tomorrow.png,docs\figures\fig_05_distribucion_rain_tomorrow.png
figura,fig_06_ic95_humidity3pm_por_grupo.png,docs\figures\fig_06_ic95_humidity3pm_por_grupo.png
figura,fig_07_diferencia_medias_humidity3pm.png,docs\figures\fig_07_diferencia_medias_humidity3pm.png
figura,fig_08_condicional_rain_today_rain_tomorrow.png,docs\figures\fig_08_condicional_rain_today_rain_tomorrow.png
