variable,MinTemp,MaxTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday_bin,RainTomorrow_bin
MinTemp,1.0,0.737,0.104,0.177,-0.233,0.006,-0.451,-0.461,0.902,0.709,0.056,0.084
MaxTemp,0.737,1.0,-0.075,0.068,-0.504,-0.509,-0.332,-0.427,0.887,0.985,-0.229,-0.159
Rainfall,0.104,-0.075,1.0,0.134,0.224,0.256,-0.168,-0.127,0.011,-0.08,0.502,0.239
WindGustSpeed,0.177,0.068,0.134,1.0,-0.215,-0.026,-0.459,-0.414,0.15,0.033,0.156,0.234
Humidity9am,-0.233,-0.504,0.224,-0.215,1.0,0.667,0.139,0.187,-0.471,-0.498,0.354,0.257
Humidity3pm,0.006,-0.509,0.256,-0.026,0.667,1.0,-0.028,0.052,-0.221,-0.558,0.379,0.446
Pressure9am,-0.451,-0.332,-0.168,-0.459,0.139,-0.028,1.0,0.961,-0.423,-0.287,-0.19,-0.246
Pressure3pm,-0.461,-0.427,-0.127,-0.414,0.187,0.052,0.961,1.0,-0.47,-0.39,-0.106,-0.226
Temp9am,0.902,0.887,0.011,0.15,-0.471,-0.221,-0.423,-0.47,1.0,0.861,-0.097,-0.026
Temp3pm,0.709,0.985,-0.08,0.033,-0.498,-0.558,-0.287,-0.39,0.861,1.0,-0.235,-0.192
RainToday_bin,0.056,-0.229,0.502,0.156,0.354,0.379,-0.19,-0.106,-0.097,-0.235,1.0,0.313
RainTomorrow_bin,0.084,-0.159,0.239,0.234,0.257,0.446,-0.246,-0.226,-0.026,-0.192,0.313,1.0
