variable,n_total,n_validos,n_faltantes,porcentaje_faltante
Date,145460,145460,0,0.0
Location,145460,145460,0,0.0
Year,145460,145460,0,0.0
Month,145460,145460,0,0.0
Season,145460,145460,0,0.0
MinTemp,145460,143975,1485,1.0208992162793895
MaxTemp,145460,144199,1261,0.8669049910628351
Humidity3pm,145460,140953,4507,3.09844630826344
Pressure3pm,145460,130432,15028,10.331362573903478
Rainfall,145460,142199,3261,2.241853430496356
WindDir9am,145460,134894,10566,7.263852605527292
RainToday,145460,142199,3261,2.241853430496356
RainTomorrow,145460,142193,3267,2.245978275814657
RainToday_bin,145460,142199,3261,2.241853430496356
RainTomorrow_bin,145460,142193,3267,2.245978275814657
