iteracion,media_acumulada_delta_individual
1,35.80695489001681
26,25.336903680978033
51,20.9058434674088
76,20.950375204518824
101,21.753354251873056
126,22.86816283727545
151,23.39126706021094
176,23.82264006679666
201,24.382987889741035
226,23.511425776559193
251,22.964323666496945
276,22.77688652614949
301,22.50523271881928
326,22.148379539614098
351,22.386591917229207
376,21.698667188728265
401,21.7407134952951
426,21.606357483366025
451,21.912368682952884
476,22.417991298728168
501,22.59542586455809
526,22.291520349882823
551,22.63003263035101
576,22.550924674214464
601,22.657885164159634
626,22.64593851068932
651,22.482233255870536
676,22.579339772101807
701,22.78255685473018
726,22.774975043692823
751,22.650937295445345
776,22.396723305578174
801,22.757437594662612
826,22.426658015779584
851,22.2967636269308
876,22.4198381707916
901,22.61814958980978
926,22.57363649030527
951,22.580602911357108
976,22.75557453073916
1001,22.66032601817607
1251,22.557651742063197
1501,22.602361860743713
1751,22.555490763866146
2001,22.481521663785475
2251,22.442320568325027
2501,22.58873670183996
2751,22.61603827656044
3001,22.74060814090383
3251,22.895354190480642
3501,22.862556608882716
3751,22.926567908405037
4001,22.973668941785096
4251,22.867926627254086
4501,22.664445678537525
4751,22.612077573660486
5001,22.488360754125576
5251,22.636885867607134
5501,22.563231153109903
5751,22.54476996230076
6001,22.518391694941002
6251,22.52025162479211
6501,22.453524654005175
6751,22.453252017200967
7001,22.553337060742592
7251,22.5917858694189
7501,22.554811337938652
7751,22.439862591450424
8001,22.355947871575086
8251,22.429389611483074
8501,22.431353467507375
8751,22.423813010305285
9001,22.395170027827216
9251,22.390164506542288
9501,22.333900517065548
9751,22.33531794048952
10001,22.33468836546447
12501,22.143313653520114
15001,21.988838699681327
17501,22.032098135138362
20001,22.05100431674627
22501,22.036816975044356
25001,21.97583713190825
27501,21.892255984617016
30001,21.888863145437167
32501,21.88720096646389
35001,21.93268216887868
37501,21.95997562471934
40001,21.98658834110591
42501,21.976631547462087
45001,21.9242960484307
47501,21.929566544655867
50001,21.91979386615744
52501,21.89261147740954
55001,21.83643137943502
57501,21.842258813454926
60001,21.835434083367083
62501,21.826881516480622
65001,21.785194427209905
67501,21.777403719246166
70001,21.791245620057047
72501,21.80321761159536
75001,21.81467789752785
77501,21.801394607168366
80001,21.788995039917502
82501,21.76500603014213
85001,21.769482875457594
87501,21.78607196700902
90001,21.791519511836942
92501,21.782054711682672
95001,21.794646048309986
97501,21.794798732946017
100000,21.783046700508464
