salida_esperada,existe,tamano_bytes
README.md,True,24271
requirements.txt,True,623
src/remuestreo_utils.py,True,16139
notebooks/Sumativa2_Rain_Australia_G6.ipynb,True,154523
data/input/weatherAUS_sumativa1_variables_clave.csv,True,11343050
data/processed/resultados_validados_sumativa2.csv,True,2627
data/processed/weatherAUS_sumativa2_base_validacion.csv,True,11343047
docs/inventario_outputs_sumativa2.csv,True,3928
docs/informe_sumativa2_rain_australia_g6.docx,True,619002
docs/informe_sumativa2_rain_australia_g6.pdf,True,758250
docs/reporte_validacion_resultados.docx,True,102562
docs/reporte_validacion_resultados.pdf,True,353757
docs/tables/00_resumen_base_sumativa2.csv,True,240
docs/tables/00b_auditoria_nan_sumativa2.csv,True,695
docs/tables/00c_criterio_tratamiento_nan_sumativa2.csv,True,1873
docs/tables/00d_resumen_casos_validos_por_analisis.csv,True,852
docs/tables/00e_configuracion_remuestreo_sumativa2.csv,True,527
docs/tables/00f_control_trazabilidad_s1_s2.csv,True,3675
docs/tables/00g_verificacion_duplicados_sumativa2.csv,True,111
docs/tables/01_parametros_s1_utilizados.csv,True,920
docs/tables/02_bootstrap_parametros_s1.csv,True,2102
docs/tables/02b_comparacion_intervalos_bootstrap.csv,True,3350
docs/tables/02c_wilson_proporcion_raintomorrow_s1.csv,True,282
docs/tables/03_test_permutacion_humidity3pm.csv,True,1103
docs/tables/03b_test_chi_cuadrado_raintoday_raintomorrow.csv,True,468
docs/tables/04_bootstrap_correlaciones.csv,True,1293
docs/tables/04b_diagnostico_estabilidad_correlaciones.csv,True,1199
docs/tables/04c_multicolinealidad_predictoras.csv,True,638
docs/tables/05_resultados_montecarlo_resumen.csv,True,621
docs/tables/05b_sensibilidad_montecarlo.csv,True,2772
docs/tables/06_resultados_montecarlo_umbrales.csv,True,585
docs/tables/07_convergencia_montecarlo.csv,True,2816
docs/tables/08_robustez_outliers_supuestos.csv,True,681
docs/tables/08b_diagnostico_outliers_iqr.csv,True,164
docs/tables/09_sensibilidad_por_localidad.csv,True,2875
docs/tables/09b_sintesis_robustez.csv,True,824
docs/tables/10_resultados_validados_para_s3.csv,True,2627
docs/tables/11_control_integridad_salidas_sumativa2.csv,True,3063
docs/figures/fig_01_bootstrap_media_global_humidity3pm.png,True,51643
docs/figures/fig_02_bootstrap_media_humidity3pm_no.png,True,54248
docs/figures/fig_03_bootstrap_media_humidity3pm_yes.png,True,56147
docs/figures/fig_04_bootstrap_diferencia_medias.png,True,55219
docs/figures/fig_05_bootstrap_proporcion_raintomorrow_yes.png,True,53381
docs/figures/fig_05b_bootstrap_media_pressure3pm.png,True,55431
docs/figures/fig_05c_bootstrap_media_maxtemp.png,True,49725
docs/figures/fig_06_permutacion_diferencia_medias.png,True,52025
docs/figures/fig_07_bootstrap_correlaciones.png,True,55195
docs/figures/fig_07b_distribuciones_bootstrap_correlaciones.png,True,201865
docs/figures/fig_08_montecarlo_distribucion_delta.png,True,67232
docs/figures/fig_09_convergencia_montecarlo.png,True,61465
docs/figures/fig_09b_sensibilidad_montecarlo.png,True,92887
docs/figures/fig_10_robustez_diferencia_medias.png,True,64569
