variable,n_faltantes_train,porcentaje_faltantes_train,conclusion_operativa,limitacion,p_Holm_Location,V_Cramer_Location,p_Holm_Month,V_Cramer_Month,p_Holm_Year,V_Cramer_Year,p_Holm_RainTomorrow_bin,V_Cramer_RainTomorrow_bin
MinTemp,458,0.46013964936956847,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.2097696491886718,0.0993259549236617,0.014067592808339129,1.9091218462251376e-21,0.0353572107475929,0.0993259549236617,0.005810834262221055
MaxTemp,224,0.22504646606721251,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.16987292122243935,0.13892513215923188,0.013655313012685338,2.5399300052411036e-07,0.023009927108363783,0.49881531407768986,0.0021438123120506246
Rainfall,999,1.0036670517908273,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.13259324261802602,0.1958076917957634,0.012159797672860665,4.014186742492381e-09,0.02482758114191391,3.4267866100652145e-81,0.060671553263492765
WindGustSpeed,6562,6.592655849701109,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.8186080671433432,0.04907502041474977,0.014081757046233724,5.9000114689264536e-164,0.08939582898078847,4.386518028245533e-15,0.025135046461558723
Humidity9am,1259,1.2648816999045562,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.21615948375461833,1.789907355977714e-10,0.02665349567772073,3.9172188365415695e-55,0.0536185647123188,1.2257710987786826e-08,0.018054684141504036
Humidity3pm,2555,2.566936253579143,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.48438622156479366,0.00041951520775449527,0.018374548904919377,0.0,0.14420410640723613,3.97288869157276e-07,0.01648411666500521
Pressure9am,9846,9.891997789722208,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.9277173764676077,0.14664328171000823,0.013586292326636046,1.0134846170114105e-29,0.040684472013337206,0.14664328171000823,0.005107710252919646
Pressure3pm,9802,9.847792233887578,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.9300587796613786,0.4146067003497237,0.011579888767089272,2.8782428089668945e-30,0.04100955269177168,0.4146067003497237,0.003996984193883441
Temp9am,638,0.64098055960215,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.24808418916539743,0.017398604878695954,0.015217165772465365,1.2010561760455298e-28,0.040037523571656575,6.644896087235468e-10,0.019914733590692388
Temp3pm,1931,1.9400210981061938,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.5174790319362332,0.05890226141101108,0.013861249296708702,0.0,0.15573353855086014,1.7513983412579448e-07,0.016960169726787034
RainToday_bin,999,1.0036670517908273,Evidencia contra MCAR; mecanismo compatible con MAR,MNAR no es identificable únicamente con la información observada.,0.0,0.13259324261802602,0.1958076917957634,0.012159797672860665,4.014186742492381e-09,0.02482758114191391,3.4267866100652145e-81,0.060671553263492765
