variable_imputada,rol_variable,predictor,fuente_correlacion,correlacion_S1_par_imputacion,correlacion_absoluta_S1,rango_correlacion_absoluta_entre_candidatas,predictor_validado_frente_RainTomorrow_en_S2,fundamento
MinTemp,Variable analítica heredada de la matriz de S1,Temp9am,Matriz de correlaciones entregada en S1,0.902,0.902,1,False,Par disponible en la matriz de S1.
MinTemp,Variable analítica heredada de la matriz de S1,MaxTemp,Matriz de correlaciones entregada en S1,0.737,0.737,2,True,Par disponible en la matriz de S1; predictor además validado frente al objetivo en S2.
MinTemp,Variable analítica heredada de la matriz de S1,Pressure3pm,Matriz de correlaciones entregada en S1,-0.461,0.461,4,True,Par disponible en la matriz de S1; predictor además validado frente al objetivo en S2.
MinTemp,Variable analítica heredada de la matriz de S1,Humidity9am,Matriz de correlaciones entregada en S1,-0.233,0.233,6,False,Par disponible en la matriz de S1.
MinTemp,Variable analítica heredada de la matriz de S1,WindGustSpeed,Matriz de correlaciones entregada en S1,0.177,0.177,7,False,Par disponible en la matriz de S1.
MaxTemp,Variable analítica heredada de la matriz de S1,Temp3pm,Matriz de correlaciones entregada en S1,0.985,0.985,1,False,Par disponible en la matriz de S1.
MaxTemp,Variable analítica heredada de la matriz de S1,MinTemp,Matriz de correlaciones entregada en S1,0.737,0.737,3,False,Par disponible en la matriz de S1.
MaxTemp,Variable analítica heredada de la matriz de S1,Humidity3pm,Matriz de correlaciones entregada en S1,-0.509,0.509,4,True,Par disponible en la matriz de S1; predictor además validado frente al objetivo en S2.
MaxTemp,Variable analítica heredada de la matriz de S1,Pressure3pm,Matriz de correlaciones entregada en S1,-0.427,0.427,6,True,Par disponible en la matriz de S1; predictor además validado frente al objetivo en S2.
Rainfall,Variable analítica heredada de la matriz de S1,Humidity3pm,Matriz de correlaciones entregada en S1,0.256,0.256,1,True,Par disponible en la matriz de S1; predictor además validado frente al objetivo en S2.
Rainfall,Variable analítica heredada de la matriz de S1,Humidity9am,Matriz de correlaciones entregada en S1,0.224,0.224,2,False,Par disponible en la matriz de S1.
Rainfall,Variable analítica heredada de la matriz de S1,Pressure9am,Matriz de correlaciones entregada en S1,-0.168,0.168,3,False,Par disponible en la matriz de S1.
