variable,Durbin_Watson_global_orden_Location_Date,Durbin_Watson_mediana_por_Location,Durbin_Watson_Q1_por_Location,Durbin_Watson_Q3_por_Location,n_Location_con_DW,proporcion_Location_DW_fuera_1_5_2_5
MinTemp,1.2912963114396654,1.324842853778518,1.1709563760223713,1.4401302104690543,44,0.7727272727272727
MaxTemp,1.7138572115487367,1.7150791479573777,1.6116188814265398,1.80543907912687,45,0.13333333333333333
Rainfall,1.6632678174599842,1.7273851276650602,1.5929808701752544,1.8190754302591643,44,0.13636363636363635
WindGustSpeed,1.355319443959315,1.4064301587618622,1.2836173891670595,1.4977601452733424,44,0.75
Humidity9am,1.3646684055765455,1.4338798504365606,1.3092408615815867,1.5237676313784536,45,0.6888888888888889
Humidity3pm,1.1124880999313207,1.2280252913200882,0.8281615806566613,1.5844642733100462,45,0.6666666666666666
Pressure9am,1.8008880984392437,1.847050121615664,1.7176690745280705,1.9371974412809614,44,0.20454545454545456
Pressure3pm,1.8402723015008897,1.9077831673856753,1.7457503018529485,1.9897988905742456,44,0.18181818181818182
Temp9am,1.1871321994176782,1.303978727711544,0.9415329353960419,1.5503004417596453,45,0.6222222222222222
Temp3pm,1.6970873838100307,1.7519442408486146,1.6108580362415168,1.8388504982185563,45,0.15555555555555556
