variable,metodo_principal,imputados_train,imputados_otro,imputados_total
MinTemp,regresion_lineal_multiple_deterministica,458,179,637
MaxTemp,regresion_lineal_multiple_deterministica,224,98,322
Rainfall,regresion_lineal_multiple_deterministica,999,407,1406
WindGustSpeed,regresion_lineal_multiple_deterministica,6562,2708,9270
Humidity9am,regresion_lineal_multiple_deterministica,1259,515,1774
Humidity3pm,regresion_lineal_multiple_deterministica,2555,1055,3610
Pressure9am,regresion_lineal_multiple_deterministica,9846,4168,14014
Pressure3pm,regresion_lineal_multiple_deterministica,9802,4179,13981
Temp9am,regresion_lineal_multiple_deterministica,638,266,904
Temp3pm,regresion_lineal_multiple_deterministica,1931,795,2726
RainToday_bin,regresion_logistica_deterministica_umbral_0_50,999,407,1406
