ciclo,conjunto,variable,n_actualizados,cambio_absoluto_medio,n_modificados_por_limites_o_redondeo,proporcion_modificada_por_limites_o_redondeo
1,train,MaxTemp,224,2.281758854018119,1,0.004464285714285714
1,otro,MaxTemp,98,2.5944229283283176,0,0.0
1,train,MinTemp,458,2.2960082529113635,0,0.0
1,otro,MinTemp,179,2.2850013863551637,0,0.0
1,train,Temp9am,638,5.049380639675172,1,0.001567398119122257
1,otro,Temp9am,266,5.116338165457365,2,0.007518796992481203
1,train,Rainfall,999,1.945690367980824,3,0.003003003003003003
1,otro,Rainfall,407,2.083013818339281,0,0.0
1,train,Humidity9am,1259,7.638916584175633,45,0.035742652899126294
1,otro,Humidity9am,515,8.169171670046243,19,0.036893203883495145
1,train,Temp3pm,1931,6.248027925913734,16,0.008285862247540134
1,otro,Temp3pm,795,6.287260086355546,8,0.010062893081761006
1,train,Humidity3pm,2555,10.096222260738749,2,0.0007827788649706458
1,otro,Humidity3pm,1055,10.644552382473345,1,0.0009478672985781991
1,train,WindGustSpeed,6562,4.226930914038437,0,0.0
1,otro,WindGustSpeed,2708,4.105375335209732,0,0.0
1,train,Pressure3pm,9802,0.4611624019202624,0,0.0
1,otro,Pressure3pm,4179,0.47643763825648866,0,0.0
1,train,Pressure9am,9846,0.40499098330881217,0,0.0
1,otro,Pressure9am,4168,0.37538317098947516,0,0.0
1,train,RainToday_bin,999,0.7907907907907908,0,0.0
1,otro,RainToday_bin,407,0.7665847665847666,0,0.0
2,train,MaxTemp,224,0.19980117466075056,1,0.004464285714285714
2,otro,MaxTemp,98,0.2441200222152947,0,0.0
2,train,MinTemp,458,0.965003348911644,0,0.0
2,otro,MinTemp,179,0.9517242389704921,0,0.0
2,train,Temp9am,638,0.7776267359768126,6,0.009404388714733543
2,otro,Temp9am,266,0.7642639975170326,4,0.015037593984962405
2,train,Rainfall,999,0.1119915929131309,3,0.003003003003003003
2,otro,Rainfall,407,0.07908923934415193,0,0.0
2,train,Humidity9am,1259,3.2830817111556025,53,0.04209690230341541
2,otro,Humidity9am,515,3.014156461558072,21,0.040776699029126215
2,train,Temp3pm,1931,0.37387450812467093,26,0.013464526152252718
2,otro,Temp3pm,795,0.3994615965806076,10,0.012578616352201259
2,train,Humidity3pm,2555,1.1771705683617584,3,0.0011741682974559687
2,otro,Humidity3pm,1055,1.140643295205348,2,0.0018957345971563982
2,train,WindGustSpeed,6562,0.11438539296387414,0,0.0
2,otro,WindGustSpeed,2708,0.11360706581867692,0,0.0
2,train,Pressure3pm,9802,0.30373029743596786,0,0.0
2,otro,Pressure3pm,4179,0.30501043875472106,0,0.0
2,train,Pressure9am,9846,0.28490521469900676,0,0.0
2,otro,Pressure9am,4168,0.28800581759178245,0,0.0
2,train,RainToday_bin,999,0.026026026026026026,0,0.0
2,otro,RainToday_bin,407,0.012285012285012284,0,0.0
3,train,MaxTemp,224,0.18312042381441437,1,0.004464285714285714
3,otro,MaxTemp,98,0.22431958157305323,0,0.0
3,train,MinTemp,458,0.509606723021432,0,0.0
3,otro,MinTemp,179,0.5477834980613785,0,0.0
3,train,Temp9am,638,0.34652293761056185,7,0.0109717868338558
3,otro,Temp9am,266,0.3153813763244708,4,0.015037593984962405
3,train,Rainfall,999,0.03474081906974146,4,0.004004004004004004
3,otro,Rainfall,407,0.020026457834903828,0,0.0
3,train,Humidity9am,1259,1.2146542179701172,70,0.05559968228752978
3,otro,Humidity9am,515,1.1502002840122554,23,0.04466019417475728
3,train,Temp3pm,1931,0.048912371839859504,27,0.013982392542723977
3,otro,Temp3pm,795,0.05408234321849296,11,0.013836477987421384
