conjunto,variable,n_actualizados_por_ciclo,proporcion_maxima_modificada,proporcion_ultimo_ciclo_modificada
otro,Humidity3pm,1055,0.0018957345971563982,0.0018957345971563982
otro,Humidity9am,515,0.06019417475728155,0.06019417475728155
otro,MaxTemp,98,0.0,0.0
otro,MinTemp,179,0.0,0.0
otro,Pressure3pm,4179,0.0,0.0
otro,Pressure9am,4168,0.0,0.0
otro,RainToday_bin,407,0.0,0.0
otro,Rainfall,407,0.0,0.0
otro,Temp3pm,795,0.013836477987421384,0.013836477987421384
otro,Temp9am,266,0.015037593984962405,0.015037593984962405
otro,WindGustSpeed,2708,0.0,0.0
train,Humidity3pm,2555,0.0011741682974559687,0.0011741682974559687
train,Humidity9am,1259,0.0698967434471803,0.0698967434471803
train,MaxTemp,224,0.004464285714285714,0.004464285714285714
train,MinTemp,458,0.0,0.0
train,Pressure3pm,9802,0.0,0.0
train,Pressure9am,9846,0.0,0.0
train,RainToday_bin,999,0.0,0.0
train,Rainfall,999,0.004004004004004004,0.004004004004004004
train,Temp3pm,1931,0.015018125323666495,0.015018125323666495
train,Temp9am,638,0.0109717868338558,0.0109717868338558
train,WindGustSpeed,6562,0.0,0.0
