variable_S1,correlacion_S1_con_RainTomorrow,validada_estable_en_S2,decision_universo_logistico,representada_o_retenida_por,correlacion_redundancia_relevante_S1,correlacion_redundancia_recalculada_base_completa_S3,fuente_decision_redundancia,fundamento
MinTemp,0.084,False,Incluir como bloque candidato,MinTemp,,,No aplica,Variable disponible en la matriz de S1; su aporte ajustado se evalúa mediante stepwise AIC y búsqueda BIC.
MaxTemp,-0.159,True,Incluir como bloque candidato,MaxTemp,,,No aplica,Variable disponible en la matriz de S1; su aporte ajustado se evalúa mediante stepwise AIC y búsqueda BIC. Su relación con RainTomorrow fue estable en S2.
Rainfall,0.239,True,Incluir como bloque candidato,Rainfall,,,No aplica,Variable disponible en la matriz de S1; su aporte ajustado se evalúa mediante stepwise AIC y búsqueda BIC. Su relación con RainTomorrow fue estable en S2.
WindGustSpeed,0.234,False,Incluir como bloque candidato,WindGustSpeed,,,No aplica,Variable disponible en la matriz de S1; su aporte ajustado se evalúa mediante stepwise AIC y búsqueda BIC.
Humidity9am,0.257,False,Incluir como bloque candidato,Humidity9am,,,No aplica,Variable disponible en la matriz de S1; su aporte ajustado se evalúa mediante stepwise AIC y búsqueda BIC.
Humidity3pm,0.446,True,Incluir como bloque candidato,Humidity3pm,,,No aplica,Variable disponible en la matriz de S1; su aporte ajustado se evalúa mediante stepwise AIC y búsqueda BIC. Su relación con RainTomorrow fue estable en S2.
Pressure9am,-0.246,False,Excluir antes de la selección automática,Pressure3pm,0.961,0.9613257211174386,Recálculo S3 sobre casos completos de la base original; corroboración posterior mediante VIF en entrenamiento,Redundancia muy alta con Pressure3pm (r recalculado=0.9613); se conserva Pressure3pm porque fue validada explícitamente en S2.
Pressure3pm,-0.226,True,Incluir como bloque candidato,Pressure3pm,,,No aplica,Variable disponible en la matriz de S1; su aporte ajustado se evalúa mediante stepwise AIC y búsqueda BIC. Su relación con RainTomorrow fue estable en S2.
Temp9am,-0.026,False,Excluir antes de la selección automática,MinTemp y MaxTemp,0.902,0.9018205621778757,Recálculo S3 sobre casos completos de la base original; corroboración posterior mediante VIF en entrenamiento,Alta redundancia con MinTemp y MaxTemp (máximo |r| recalculado=0.9018); ambas permanecen disponibles y MaxTemp fue validada en S2.
Temp3pm,-0.192,False,Excluir antes de la selección automática,MaxTemp,0.985,0.9845028310904462,Recálculo S3 sobre casos completos de la base original; corroboración posterior mediante VIF en entrenamiento,Redundancia casi perfecta con MaxTemp (r recalculado=0.9845); se conserva MaxTemp porque fue validada explícitamente en S2.
