bloques,variables,n_bloques,n_parametros,logLik,AIC,BIC,convergio
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",8,11,-37037.51364589574,74097.02729179148,74201.61820261246,True
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Humidity9am, Season","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",9,12,-37035.38854264147,74094.77708528294,74208.87626072399,True
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Season","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",7,10,-37054.40544518507,74128.81089037014,74223.89353657102,True
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Season","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",8,11,-37050.283432599506,74122.56686519901,74227.15777601999,True
"Humidity3pm, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season","Humidity3pm, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",7,10,-37057.03752611242,74134.07505222484,74229.15769842573,True
"Humidity3pm, Rainfall_log1p, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Humidity9am, Season","Humidity3pm, Rainfall_log1p, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",8,11,-37055.69278521389,74133.38557042778,74237.97648124876,True
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MinTemp, WindGustSpeed, Humidity9am, Season","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MinTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",8,11,-37061.95005710899,74145.90011421798,74250.49102503895,True
"Humidity3pm, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Season","Humidity3pm, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",6,9,-37075.64069012245,74169.2813802449,74254.85576182569,True
"Humidity3pm, Rainfall_log1p, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Season","Humidity3pm, Rainfall_log1p, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",7,10,-37072.55931959968,74165.11863919935,74260.20128540024,True
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MinTemp, WindGustSpeed, Season","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MinTemp, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",7,10,-37076.4914950572,74172.9829901144,74268.06563631528,True
"Humidity3pm, Rainfall_log1p, Pressure3pm, MinTemp, WindGustSpeed, Humidity9am, Season","Humidity3pm, Rainfall_log1p, Pressure3pm, MinTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",7,10,-37078.34643852273,74176.69287704545,74271.77552324634,True
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, WindGustSpeed, Humidity9am, Season","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",7,10,-37082.86582535946,74185.73165071892,74280.81429691981,True
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, WindGustSpeed, Season","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",6,9,-37090.385782473866,74198.77156494773,74284.34594652853,True
"Humidity3pm, Rainfall_log1p, Pressure3pm, MinTemp, WindGustSpeed, Season","Humidity3pm, Rainfall_log1p, Pressure3pm, MinTemp, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",6,9,-37094.69146691955,74207.3829338391,74292.95731541989,True
"Humidity3pm, Rainfall_log1p, Pressure3pm, WindGustSpeed, Humidity9am, Season","Humidity3pm, Rainfall_log1p, Pressure3pm, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",6,9,-37098.77418840361,74215.54837680722,74301.12275838801,True
"Humidity3pm, Rainfall_log1p, Pressure3pm, WindGustSpeed, Season","Humidity3pm, Rainfall_log1p, Pressure3pm, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",5,8,-37107.69448496357,74231.38896992714,74307.45508688784,True
"Humidity3pm, RainToday_bin, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season","Humidity3pm, RainToday_bin, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",7,10,-37096.706085580845,74213.41217116169,74308.49481736257,True
"Humidity3pm, RainToday_bin, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Humidity9am, Season","Humidity3pm, RainToday_bin, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",8,11,-37095.83209440064,74213.66418880128,74318.25509962226,True
"Humidity3pm, RainToday_bin, Pressure3pm, MaxTemp, WindGustSpeed, Season","Humidity3pm, RainToday_bin, Pressure3pm, MaxTemp, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",6,9,-37122.58227574787,74263.16455149573,74348.73893307653,True
"Humidity3pm, RainToday_bin, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Season","Humidity3pm, RainToday_bin, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",7,10,-37119.95843206769,74259.91686413538,74354.99951033626,True
"Humidity3pm, RainToday_bin, Pressure3pm, MinTemp, WindGustSpeed, Humidity9am, Season","Humidity3pm, RainToday_bin, Pressure3pm, MinTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",7,10,-37120.272493049226,74260.54498609845,74355.62763229934,True
"Humidity3pm, RainToday_bin, Pressure3pm, MinTemp, WindGustSpeed, Season","Humidity3pm, RainToday_bin, Pressure3pm, MinTemp, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",6,9,-37143.84385969602,74305.68771939204,74391.26210097283,True
"Humidity3pm, RainToday_bin, Pressure3pm, WindGustSpeed, Humidity9am, Season","Humidity3pm, RainToday_bin, Pressure3pm, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",6,9,-37147.18472716373,74312.36945432746,74397.94383590826,True
"Humidity3pm, RainToday_bin, Pressure3pm, WindGustSpeed, Season","Humidity3pm, RainToday_bin, Pressure3pm, WindGustSpeed, Season_Autumn, Season_Winter, Season_Spring",5,8,-37160.80397405368,74337.60794810735,74413.67406506806,True
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, WindGustSpeed, Humidity9am","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, WindGustSpeed, Humidity9am",6,7,-37243.86901614992,74501.73803229984,74568.29588464045,True
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Humidity9am","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, MinTemp, WindGustSpeed, Humidity9am",8,9,-37235.16245058995,74488.3249011799,74573.8992827607,True
"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MinTemp, WindGustSpeed, Humidity9am","Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MinTemp, WindGustSpeed, Humidity9am",7,8,-37242.32097692311,74500.64195384622,74576.70807080693,True
