fold,estrategia_faltantes,modelo,estimador_predictivo,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier
1,imputacion_regresion,M1_S1_S2,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,11908,3536,1138,3325,0.7652082182146983,0.7580291676191295,0.4846232327649031,0.745014564194488,0.587248322147651,0.8381383089819119,0.6511844283445208,0.1616987297149058
1,imputacion_regresion,M2_stepwise_AIC,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12114,3330,1082,3381,0.7783694177927363,0.7709722311447609,0.5037997317836388,0.7575621779072372,0.6051548236978701,0.8517351624566502,0.6653033765803313,0.15488499258285957
1,imputacion_regresion,M3_BIC_parsimonioso,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12077,3367,1082,3381,0.7765107751042347,0.7697743549468846,0.5010373443983402,0.7575621779072372,0.6031576130586032,0.8517789481827124,0.6658140982784923,0.15507063747150135
2,imputacion_regresion,M1_S1_S2,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,11945,3499,1136,3327,0.7671673280755513,0.7594511083475906,0.4874011133899795,0.7454626932556576,0.5894233324475153,0.8372922782232664,0.6465809704127279,0.16141680231361705
2,imputacion_regresion,M2_stepwise_AIC,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12107,3337,1088,3375,0.7777163811724519,0.7700734123263812,0.5028307508939214,0.7562177907237284,0.6040268456375839,0.8508710689978894,0.6703805760379793,0.15478817735711264
2,imputacion_regresion,M3_BIC_parsimonioso,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12082,3362,1087,3376,0.7765107751042347,0.7693760687822978,0.5010388839418225,0.7564418552543133,0.6028033211320418,0.8507571506675248,0.6704026232163903,0.15495161467772686
3,imputacion_regresion,M1_S1_S2,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,11955,3489,1133,3330,0.7678203646958356,0.7601109554672181,0.48834139903211615,0.746134886847412,0.5903208650948414,0.8409699745404429,0.6598543991503436,0.16043976888692452
3,imputacion_regresion,M2_stepwise_AIC,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12101,3343,1117,3346,0.7759582056563018,0.7666302264386513,0.5002242487666317,0.749719919336769,0.6000717360114778,0.8529058648092929,0.6764515449979971,0.15400705334085701
3,imputacion_regresion,M3_BIC_parsimonioso,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12068,3376,1108,3355,0.7747525995880846,0.7665701407579069,0.49844005348388054,0.7517365001120323,0.5994282651420404,0.8528815490780536,0.6767306837131974,0.15416121616780032
4,imputacion_regresion,M1_S1_S2,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,11986,3458,1136,3327,0.7692269051087557,0.7607784846749668,0.49034635224760503,0.7454626932556576,0.5915718349928877,0.8379402503870351,0.655670678153296,0.16019555605663097
4,imputacion_regresion,M2_stepwise_AIC,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12169,3275,1124,3339,0.7790224544130205,0.7680475027831066,0.5048382219534321,0.7481514676226754,0.6028708133971292,0.8508854321088245,0.6755025622169994,0.15353067028619105
4,imputacion_regresion,M3_BIC_parsimonioso,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12169,3275,1124,3339,0.7790224544130205,0.7680475027831066,0.5048382219534321,0.7481514676226754,0.6028708133971292,0.8508854321088245,0.6755025622169994,0.15353067028619102
5,imputacion_regresion,M1_S1_S2,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,11957,3488,1146,3316,0.767217561661727,0.7586654485581564,0.48736037624926515,0.7431645002241147,0.5886738860287591,0.8382441331489725,0.6478922770029533,0.1603876941300417
5,imputacion_regresion,M2_stepwise_AIC,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12159,3286,1114,3348,0.7789722208268448,0.7687906176236756,0.5046728971962616,0.7503361721201255,0.6034607065609229,0.851885299102859,0.667182108892475,0.1534867340419296
5,imputacion_regresion,M3_BIC_parsimonioso,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12138,3307,1105,3357,0.7783694177927363,0.7691193023233205,0.5037515006002401,0.7523532048408785,0.6034513751572892,0.8518146619654565,0.6671481664018,0.15361558987107296
