fold,modelo,estrategia_faltantes,class_weight_predictivo,n_variables,variables,n_advertencias
1,M1_S1_S2,imputacion_regresion,balanced,5,"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp",0
1,M2_stepwise_AIC,imputacion_regresion,balanced,11,"Humidity3pm, WindGustSpeed, Pressure3pm, Rainfall_log1p, Season_Autumn, Season_Winter, Season_Spring, MaxTemp, RainToday_bin, Humidity9am, MinTemp",0
1,M3_BIC_parsimonioso,imputacion_regresion,balanced,10,"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",0
2,M1_S1_S2,imputacion_regresion,balanced,5,"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp",0
2,M2_stepwise_AIC,imputacion_regresion,balanced,11,"Humidity3pm, WindGustSpeed, Pressure3pm, Rainfall_log1p, Season_Autumn, Season_Winter, Season_Spring, MaxTemp, RainToday_bin, Humidity9am, MinTemp",0
2,M3_BIC_parsimonioso,imputacion_regresion,balanced,10,"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",0
3,M1_S1_S2,imputacion_regresion,balanced,5,"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp",0
3,M2_stepwise_AIC,imputacion_regresion,balanced,11,"Humidity3pm, WindGustSpeed, Pressure3pm, Rainfall_log1p, Season_Autumn, Season_Winter, Season_Spring, MaxTemp, RainToday_bin, Humidity9am, MinTemp",0
3,M3_BIC_parsimonioso,imputacion_regresion,balanced,10,"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",0
4,M1_S1_S2,imputacion_regresion,balanced,5,"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp",0
4,M2_stepwise_AIC,imputacion_regresion,balanced,10,"Humidity3pm, WindGustSpeed, Pressure3pm, Rainfall_log1p, Season_Autumn, Season_Winter, Season_Spring, MaxTemp, Humidity9am, RainToday_bin",0
4,M3_BIC_parsimonioso,imputacion_regresion,balanced,10,"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",0
5,M1_S1_S2,imputacion_regresion,balanced,5,"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp",0
5,M2_stepwise_AIC,imputacion_regresion,balanced,11,"Humidity3pm, Pressure3pm, WindGustSpeed, Rainfall_log1p, Season_Autumn, Season_Winter, Season_Spring, MaxTemp, RainToday_bin, Humidity9am, MinTemp",0
5,M3_BIC_parsimonioso,imputacion_regresion,balanced,10,"Humidity3pm, RainToday_bin, Rainfall_log1p, Pressure3pm, MaxTemp, WindGustSpeed, Humidity9am, Season_Autumn, Season_Winter, Season_Spring",0
