estrategia,porcentaje_retenido,distancia_distribucion_media,desviacion_correlacion_media,rango_retencion,rango_distribucion,rango_correlacion,puntaje_decision,fold,seleccionada
casos_completos,84.10734917365751,0.020113262793652904,0.0024074641632090706,3.0,2.0,2.0,2.4000000000000004,1,False
imputacion_simple,100.0,0.022740469897001674,0.006971118062447008,1.0,3.0,3.0,2.1999999999999997,1,False
imputacion_regresion,100.0,0.01635318139680755,0.002287074911999774,1.0,1.0,1.0,1.0,1,True
casos_completos,84.01567287888682,0.02103514849808621,0.002245526345092571,3.0,2.0,1.0,2.1,2,False
imputacion_simple,100.0,0.022946261685122517,0.007076916385798998,1.0,3.0,3.0,2.1999999999999997,2,False
imputacion_regresion,100.0,0.01650862453557117,0.0023634221221047183,1.0,1.0,2.0,1.2999999999999998,2,True
casos_completos,84.13497764605415,0.02064833299391549,0.002785393963411223,3.0,2.0,2.0,2.4000000000000004,3,False
imputacion_simple,100.0,0.022602897388330767,0.007051597618095972,1.0,3.0,3.0,2.1999999999999997,3,False
imputacion_regresion,100.0,0.01636282144019705,0.002339357035698491,1.0,1.0,1.0,1.0,3,True
casos_completos,84.11990757020143,0.01947194410125227,0.002447836708607661,3.0,2.0,2.0,2.4000000000000004,4,False
imputacion_simple,100.0,0.022732840234820095,0.0070491887845501484,1.0,3.0,3.0,2.1999999999999997,4,False
imputacion_regresion,100.0,0.016368907098875788,0.002295423123096597,1.0,1.0,1.0,1.0,4,True
casos_completos,83.99181192545336,0.020954015170661026,0.0023351900214741254,3.0,2.0,1.0,2.1,5,False
imputacion_simple,100.0,0.022818252491591716,0.006999879429573415,1.0,3.0,3.0,2.1999999999999997,5,False
imputacion_regresion,100.0,0.016467844841804875,0.002381419459135614,1.0,1.0,2.0,1.2999999999999998,5,True
