configuracion,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier,seleccionado
sin_ponderacion,99535,0.05,23345,53876,572,21742,0.45297633998091125,0.6383400031536245,0.2875241344653389,0.9743658689611903,0.4440223828779153,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.055,26007,51214,719,21595,0.4782438338272969,0.6522823509718502,0.2965979480558722,0.9677780765438738,0.45404371182574144,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.06,28485,48736,894,21420,0.5013814236198322,0.6644059042254864,0.30531957352186556,0.9599354665232589,0.46328538985616957,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.065,30817,46404,1076,21238,0.5229818656753905,0.675427266575508,0.31397652346175453,0.9517791521018195,0.47218640224109565,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.07,32969,44252,1225,21089,0.5431054402973828,0.6860225889407461,0.322752942256776,0.945101729855696,0.48118190633734526,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.075,34999,42222,1388,20926,0.5618626613753956,0.6955142663449492,0.331380249572433,0.9377968988079233,0.4897147270131754,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.08,36768,40453,1561,20753,0.5778972220826845,0.7030919143720947,0.3390680652223638,0.9300439186161155,0.4969588122605364,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.08499999999999999,38521,38700,1722,20592,0.5938915959210328,0.7108348531236666,0.3472981177899211,0.9228287173971498,0.5046687743548268,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.09,40148,37073,1890,20424,0.6085497563671071,0.717605099424117,0.35521853314085955,0.9152998117773595,0.5118091491147837,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.095,41600,35621,2051,20263,0.6215200683176773,0.7233990864656618,0.3625903657576408,0.9080846105583938,0.518248548556229,0.8533493454449823,0.680929669939794,0.1148455285354345,False
