decil,n,probabilidad_media,proporcion_observada,configuracion
0,9954,0.021572925784039416,0.011954992967651195,sin_ponderacion
1,9953,0.03626983564249348,0.027428915904752337,sin_ponderacion
2,9954,0.05187168458740293,0.05304400241109102,sin_ponderacion
3,9953,0.07173933171072482,0.0763588867678087,sin_ponderacion
4,9954,0.09913550093803088,0.10709262607996785,sin_ponderacion
5,9953,0.13943272202618154,0.15291871797448006,sin_ponderacion
6,9953,0.2015992080012652,0.20315482769014367,sin_ponderacion
7,9954,0.30776364790932115,0.3086196503918023,sin_ponderacion
8,9953,0.5006105998626627,0.4957299306741686,sin_ponderacion
9,9954,0.8118462538213291,0.8055053244926663,sin_ponderacion
0,9954,0.06549653770118175,0.011452682338758288,balanceada
1,9953,0.11007462989442034,0.028433638099065607,balanceada
2,9954,0.15483349042413755,0.05063291139240506,balanceada
3,9953,0.2078761969533771,0.07736360896212198,balanceada
4,9954,0.27436927727264554,0.10749447458308217,balanceada
5,9953,0.3593759714666413,0.1519139957801668,balanceada
6,9953,0.4680964211502356,0.2050637998593389,balanceada
7,9954,0.6078900783204118,0.30751456700823787,balanceada
8,9953,0.7757760135255803,0.49683512508791317,balanceada
9,9954,0.935137565574499,0.8051034759895519,balanceada
