termino,beta_modelo_final,IC95_Wald_beta_li,IC95_Wald_beta_ls,IC95_bootstrap_beta_li,IC95_bootstrap_beta_ls,OR_modelo_final,IC95_Wald_OR_li,IC95_Wald_OR_ls,IC95_bootstrap_OR_li,IC95_bootstrap_OR_ls,consistencia_signo,intervalo_bootstrap_incluye_cero,parametro_inestable
const,-2.111504644505918,-2.161178460278592,-2.061830828733244,-2.161038621521656,-2.062817622049232,0.12105568356312865,0.11518929501230266,0.1272208369829087,0.11520540406643834,0.12709535823229795,1.0,False,False
Humidity3pm,1.1285225000425947,1.0984449154302631,1.1586000846549263,1.0995565136858547,1.1576789610215554,3.091086045032682,2.9994979223048173,3.1854707638716615,3.002834012815578,3.182537902439007,1.0,False,False
Rainfall_log1p,0.42236743741242044,0.38719308813241243,0.45754178669242845,0.38622141176862335,0.45782139686799467,1.5255689728280106,1.4728408519083556,1.5801847754561922,1.4714104223347821,1.5806266729753269,1.0,False,False
Pressure3pm,-0.5142230185264556,-0.5368690596485675,-0.49157697740434375,-0.5378755204940964,-0.49130298799122296,0.597965021913025,0.5845756616539923,0.6116610575605589,0.5839876051168682,0.6118286691756043,1.0,False,False
MaxTemp,0.11516864906060886,0.08717513509057928,0.14316216303063845,0.08645030565058218,0.14368732426848305,1.1220626564286496,1.0910877507382246,1.1539169091577355,1.0902971847622283,1.154523060739845,1.0,False,False
WindGustSpeed,0.49926158302392776,0.47474563417237453,0.523777531875481,0.47397518481364675,0.5245355429534156,1.6475042763049905,1.607605225640042,1.6883935789413647,1.6063671242333215,1.689673885159961,1.0,False,False
Humidity9am,0.12248546765419277,0.09292217609895922,0.15204875920942632,0.09379485216395246,0.15268711429970463,1.1303026940050405,1.0973763298379355,1.1642170013487814,1.0983344018777412,1.1649604224558596,1.0,False,False
Season_Autumn,0.4291222702142808,0.373061378116864,0.48518316231169756,0.37355193996310215,0.48539044785651847,1.5359088188172874,1.4521734687703372,1.624472523739377,1.4528860244302553,1.624809288313515,1.0,False,False
Season_Winter,0.6646305176000015,0.6001614397561039,0.729099595443899,0.6006692638833647,0.7262633881743032,1.943772199024131,1.8224129865512684,2.0732130365516444,1.8233386868622552,2.0673413053254017,1.0,False,False
Season_Spring,0.366340272403623,0.30902425202776246,0.4236562927794835,0.3092118933820397,0.4244623599864288,1.4424459837189365,1.3620954036784048,1.527536478229053,1.3623510130853034,1.5287682716790232,1.0,False,False
Humidity3pm_sq,0.22033597763541157,0.2010612677228217,0.23961068754800144,0.20251032324354304,0.23853678609662574,1.246495454837918,1.222699681553713,1.2707543335230123,1.2244727255868275,1.269390401095488,1.0,False,False
Rainfall_log1p_sq,-0.07607770297520164,-0.09018407615510757,-0.06197132979529572,-0.09014795122192538,-0.061694586744508596,0.9267441929805383,0.9137629678154968,0.9399098338121378,0.9137959780378959,0.940169983322636,1.0,False,False
MaxTemp_sq,-0.09236468731650409,-0.10875714327393568,-0.0759722313590725,-0.10988746004666669,-0.07397859627564361,0.9117725770119115,0.8969482209580385,0.926841943343164,0.8959349581014994,0.9286915710869625,1.0,False,False
WindGustSpeed_sq,-0.027998460684719204,-0.03885322460663626,-0.017143696762802148,-0.03919834818452208,-0.016397657926524596,0.9723898636146708,0.9618918808450319,0.9830024202199209,0.9615599665565933,0.983736051826368,1.0,False,False
