Location,n,prevalencia,accuracy,recall,precision,F1,ROC_AUC
Sydney,1011,0.2413452027695351,0.8061325420375866,0.5819672131147541,0.6016949152542372,0.5916666666666667,0.8187584157992605
Canberra,1000,0.176,0.843,0.5227272727272727,0.5575757575757576,0.5395894428152492,0.8394127868490733
Hobart,987,0.23100303951367782,0.7710233029381965,0.6140350877192983,0.5035971223021583,0.5533596837944664,0.8130504125927467
Brisbane,970,0.2463917525773196,0.8371134020618557,0.4476987447698745,0.8045112781954887,0.5752688172043011,0.8373523974151302
PerthAirport,959,0.1762252346193952,0.8967674661105318,0.6035502958579881,0.7611940298507462,0.6732673267326733,0.9018275784585424
Darwin,949,0.2708113804004215,0.8303477344573235,0.8560311284046692,0.6395348837209303,0.7321131447587355,0.9145711972290322
Sale,939,0.2161874334398296,0.8146964856230032,0.7586206896551724,0.5519713261648745,0.6390041493775933,0.8653954272863569
Mildura,933,0.11039657020364416,0.9035369774919614,0.5339805825242718,0.5670103092783505,0.55,0.8913206222950053
Adelaide,932,0.20493562231759657,0.8733905579399142,0.5497382198952879,0.7664233576642335,0.6402439024390244,0.8885827133278221
Townsville,932,0.16523605150214593,0.8100858369098712,0.8051948051948052,0.4575645756457565,0.5835294117647059,0.8855456882449171
Launceston,930,0.22043010752688172,0.7978494623655914,0.7317073170731707,0.5300353356890459,0.6147540983606558,0.8587249789739277
Woomera,930,0.05698924731182796,0.9387096774193548,0.4339622641509434,0.46,0.44660194174757284,0.8578558981089046
Perth,929,0.1883745963401507,0.8783638320775027,0.52,0.7583333333333333,0.6169491525423729,0.868427434634331
MelbourneAirport,924,0.21536796536796537,0.8116883116883117,0.6432160804020101,0.5541125541125541,0.5953488372093023,0.8448865014728815
MountGambier,922,0.31778741865509763,0.8221258134490239,0.7474402730375427,0.7087378640776699,0.7275747508305648,0.8908121130566422
Cobar,918,0.11328976034858387,0.9106753812636166,0.4230769230769231,0.6666666666666666,0.5176470588235295,0.8735943110943111
Ballarat,917,0.2824427480916031,0.7644492911668485,0.7799227799227799,0.5595567867036011,0.6516129032258065,0.851480442665853
Cairns,916,0.31004366812227074,0.7554585152838428,0.8133802816901409,0.5746268656716418,0.673469387755102,0.857177081476199
SydneyAirport,911,0.2722283205268935,0.7694840834248079,0.6693548387096774,0.564625850340136,0.6125461254612546,0.8132328613827664
SalmonGums,910,0.15054945054945054,0.843956043956044,0.38686131386861317,0.4774774774774775,0.4274193548387097,0.8004268137222501
